Product_name,Ratings,Reviews,stars,Current_Price,MRP,Processor,RAM,Storage,Image_URL
Lenovo ThinkBook 13s Core i5 11th Gen,119,13,4.3,₹64990,₹120708,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/x/k/g/thinkbook-13s-thin-and-light-laptop-lenovo-original-imag6zepnbxrwmaf.jpeg?q=70
MSI GF65 Thin Hexa Core i5 10th Gen,619,115,4.6,₹75990,₹99990,Intel Hexa Core i5 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/km0x5zk0/computer/l/m/h/na-laptop-msi-original-imagfytjkekghphd.jpeg?q=70
ASUS ROG Strix Ryzen 9 Octa Core 5900HX,36,5,4.6,₹117990,₹162990,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70
ASUS Vivobook Gaming Core i7 10th Gen,37,4,4.3,₹72990,₹94990,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/r/q/1/f571lh-bq436t-gaming-laptop-asus-original-imag7bhetvcb3fky.jpeg?q=70
DELL XPS Core i5 11th Gen,0,0,0,₹114600,₹115729,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kirr24w0/computer/x/t/w/dell-na-thin-and-light-laptop-original-imafyhm53umy7d4d.jpeg?q=70
DELL G15 Core i7 12th Gen,0,0,0,₹127990,₹164987,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70
Lenovo Legion 5 Core i5 10th Gen,313,41,4.5,₹62490,₹93690,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kggviq80/computer/x/6/g/lenovo-original-imafwpajqjvfhrea.jpeg?q=70
ASUS Chromebook Flip Celeron Dual Core,1098,192,4.1,₹23990,₹29990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/q/t/6/-original-imagdv4ykwrjxbmh.jpeg?q=70
DELL XPS Core i5 10th Gen,0,0,0,₹89990,₹154446,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kf2v3ww0/computer/h/t/m/dell-original-imafvm5ymhkzvdqu.jpeg?q=70
HP Pavilion Gaming Core i5 11th Gen,3,0,4.3,₹70990,₹87152,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70
